"","x1_gender","x2_seniorcitizen","x3_partner","x4_dependents","x5_tenure","x6_contract","x7_paperlessbill","x8_paymntmethod","x9_mthlycharges","x10_totalcharges","x11_phone","x12_multipleline","x13_internet","x14_onlinesecur","x15_onlinebckp","x16_devprotect","x17_techsupport","x18_streamtv","x19_streammovie","y_churn"
"1","Female",0,"Yes","No",1,"Month-to-month","Yes","Electronic check",29.85,29.85,"No","No phone service","DSL","No","Yes","No","No","No","No",0
"2","Male",0,"No","No",34,"One year","No","Mailed check",56.95,1889.5,"Yes","No","DSL","Yes","No","Yes","No","No","No",0
"3","Male",0,"No","No",2,"Month-to-month","Yes","Mailed check",53.85,108.15,"Yes","No","DSL","Yes","Yes","No","No","No","No",1
"4","Male",0,"No","No",45,"One year","No","Bank transfer (automatic)",42.3,1840.75,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No",0
"5","Female",0,"No","No",2,"Month-to-month","Yes","Electronic check",70.7,151.65,"Yes","No","Fiber optic","No","No","No","No","No","No",1
"6","Female",0,"No","No",8,"Month-to-month","Yes","Electronic check",99.65,820.5,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes",1
"7","Male",0,"No","Yes",22,"Month-to-month","Yes","Credit card (automatic)",89.1,1949.4,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No",0
"8","Female",0,"No","No",10,"Month-to-month","No","Mailed check",29.75,301.9,"No","No phone service","DSL","Yes","No","No","No","No","No",0
"9","Female",0,"Yes","No",28,"Month-to-month","Yes","Electronic check",104.8,3046.05,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes",1
"10","Male",0,"No","Yes",62,"One year","No","Bank transfer (automatic)",56.15,3487.95,"Yes","No","DSL","Yes","Yes","No","No","No","No",0
"11","Male",0,"Yes","Yes",13,"Month-to-month","Yes","Mailed check",49.95,587.45,"Yes","No","DSL","Yes","No","No","No","No","No",0
"12","Male",0,"No","No",16,"Two year","No","Credit card (automatic)",18.95,326.8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"13","Male",0,"Yes","No",58,"One year","No","Credit card (automatic)",100.35,5681.1,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes",0
"14","Male",0,"No","No",49,"Month-to-month","Yes","Bank transfer (automatic)",103.7,5036.3,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes",1
"15","Male",0,"No","No",25,"Month-to-month","Yes","Electronic check",105.5,2686.05,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes",0
"16","Female",0,"Yes","Yes",69,"Two year","No","Credit card (automatic)",113.25,7895.15,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes",0
"17","Female",0,"No","No",52,"One year","No","Mailed check",20.65,1022.95,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"18","Male",0,"No","Yes",71,"Two year","No","Bank transfer (automatic)",106.7,7382.25,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes",0
